"","year","home_team","total_attendance","num_games","num_games_won","prev_attendance","prev_games_won"
"1",2001,"49ers",67469.5,16,12,67745.5,6
"2",2001,"Bears",66944,16,13,66944,5
"3",2001,"Bengals",56867.25,16,6,58749,4
"4",2001,"Bills",63092,16,3,70086.875,8
"5",2001,"Broncos",75035.375,16,8,75505.25,11
"6",2001,"Browns",72886.75,16,7,72693,3
"7",2001,"Buccaneers",65558.5,16,9,65596.875,10
"8",2001,"Cardinals",38414.375,16,7,48434.375,3
"9",2001,"Chargers",59355.5,16,5,54182.375,1
"10",2001,"Chiefs",77186,16,6,78920.625,7
"11",2001,"Colts",56343.25,16,6,56789.875,10
"12",2001,"Cowboys",63187.625,16,5,63045,5
"13",2001,"Dolphins",73469.5,16,11,73738.625,11
"14",2001,"Eagles",65899.125,16,11,65441.375,11
"15",2001,"Falcons",53214.625,16,7,52851.75,4
"16",2001,"Giants",78498.125,16,7,78010.625,12
"17",2001,"Jaguars",60442.75,16,6,60313.75,7
"18",2001,"Jets",78476,16,10,77963.875,9
"19",2001,"Lions",75226.875,16,2,75884.5,9
"20",2001,"Packers",59804.125,16,12,59843.375,9
"21",2001,"Panthers",72385,16,1,72936.125,7
"22",2001,"Patriots",60292,16,11,60292,5
"23",2001,"Raiders",59011.375,16,10,57814.375,12
"24",2001,"Rams",66103.625,16,14,66050.25,10
"25",2001,"Ravens",69373.875,16,10,68961.875,12
"26",2001,"Redskins",78046.75,16,8,80928,8
"27",2001,"Saints",70059,16,7,63039.375,10
"28",2001,"Seahawks",60352.25,16,9,63545.875,6
"29",2001,"Steelers",62398.875,16,13,55053.25,9
"30",2001,"Titans",68799.125,16,7,68440.5,13
"31",2001,"Vikings",64168,16,5,64165.25,11
"32",2002,"49ers",67699.125,16,10,67469.5,12
"33",2002,"Bears",60906.875,16,4,66944,13
"34",2002,"Bengals",52779.375,16,2,56867.25,6
"35",2002,"Bills",68462.75,16,8,63092,3
"36",2002,"Broncos",75613,16,9,75035.375,8
"37",2002,"Browns",73286.75,16,9,72886.75,7
"38",2002,"Buccaneers",65628.875,16,12,65558.5,9
