"","year","rev","team_name","label"
"1",2019,492,"49ers","$492 M"
"2",2018,470,"49ers",""
"3",2017,458,"49ers",""
"4",2016,446,"49ers",""
"5",2015,427,"49ers",""
"6",2014,270,"49ers",""
"7",2013,255,"49ers",""
"8",2019,453,"Bears","$453 M"
"9",2018,431,"Bears",""
"10",2017,416,"Bears",""
"11",2016,385,"Bears",""
"12",2015,352,"Bears",""
"13",2014,309,"Bears",""
"14",2013,298,"Bears",""
"15",2019,380,"Bengals","$380 M"
"16",2018,359,"Bengals",""
"17",2017,355,"Bengals",""
"18",2016,329,"Bengals",""
"19",2015,296,"Bengals",""
"20",2014,258,"Bengals",""
"21",2013,250,"Bengals",""
"22",2019,386,"Bills","$386 M"
"23",2018,364,"Bills",""
"24",2017,352,"Bills",""
"25",2016,326,"Bills",""
"26",2015,296,"Bills",""
"27",2014,252,"Bills",""
"28",2013,256,"Bills",""
"29",2019,446,"Broncos","$446 M"
"30",2018,427,"Broncos",""
"31",2017,411,"Broncos",""
"32",2016,387,"Broncos",""
"33",2015,346,"Broncos",""
"34",2014,301,"Broncos",""
"35",2013,283,"Broncos",""
"36",2019,399,"Browns","$399 M"
"37",2018,375,"Browns",""
"38",2017,365,"Browns",""
"39",2016,347,"Browns",""
"40",2015,313,"Browns",""
"41",2014,276,"Browns",""
"42",2013,264,"Browns",""
"43",2019,400,"Buccaneers","$400 M"
"44",2018,383,"Buccaneers",""
"45",2017,367,"Buccaneers",""
"46",2016,341,"Buccaneers",""
"47",2015,313,"Buccaneers",""
"48",2014,275,"Buccaneers",""
"49",2013,267,"Buccaneers",""
"50",2019,400,"Cardinals","$400 M"
"51",2018,380,"Cardinals",""
"52",2017,370,"Cardinals",""
"53",2016,348,"Cardinals",""
"54",2015,308,"Cardinals",""
"55",2014,266,"Cardinals",""
"56",2013,253,"Cardinals",""
"57",2019,375,"Chargers","$375 M"
"58",2018,346,"Chargers",""
"59",2017,355,"Chargers",""
"60",2016,344,"Chargers",""
"61",2015,304,"Chargers",""
"62",2014,262,"Chargers",""
"63",2013,250,"Chargers",""
"64",2019,410,"Chiefs","$410 M"
"65",2018,380,"Chiefs",""
"66",2017,365,"Chiefs",""
"67",2016,340,"Chiefs",""
"68",2015,307,"Chiefs",""
"69",2014,260,"Chiefs",""
"70",2013,245,"Chiefs",""
"71",2019,393,"Colts","$393 M"
"72",2018,373,"Colts",""
"73",2017,360,"Colts",""
"74",2016,336,"Colts",""
"75",2015,321,"Colts",""
"76",2014,285,"Colts",""
"77",2013,276,"Colts",""
"78",2019,950,"Cowboys","$950 M"
"79",2018,864,"Cowboys",""
"80",2017,840,"Cowboys",""
"81",2016,700,"Cowboys",""
"82",2015,620,"Cowboys",""
"83",2014,560,"Cowboys",""
"84",2013,539,"Cowboys",""
"85",2019,443,"Dolphins","$443 M"
"86",2018,414,"Dolphins",""
"87",2017,376,"Dolphins",""
"88",2016,359,"Dolphins",""
"89",2015,322,"Dolphins",""
"90",2014,281,"Dolphins",""
"91",2013,268,"Dolphins",""
"92",2019,482,"Eagles","$482 M"
"93",2018,458,"Eagles",""
"94",2017,430,"Eagles",""
"95",2016,407,"Eagles",""
"96",2015,370,"Eagles",""
"97",2014,330,"Eagles",""
"98",2013,306,"Eagles",""
"99",2019,458,"Falcons","$458 M"
"100",2018,451,"Falcons",""
"101",2017,367,"Falcons",""
"102",2016,336,"Falcons",""
"103",2015,303,"Falcons",""
"104",2014,264,"Falcons",""
"105",2013,252,"Falcons",""
"106",2019,519,"Giants","$519 M"
"107",2018,493,"Giants",""
"108",2017,477,"Giants",""
"109",2016,444,"Giants",""
"110",2015,400,"Giants",""
"111",2014,353,"Giants",""
"112",2013,338,"Giants",""
"113",2019,424,"Jaguars","$424 M"
"114",2018,391,"Jaguars",""
"115",2017,377,"Jaguars",""
"116",2016,344,"Jaguars",""
"117",2015,315,"Jaguars",""
"118",2014,263,"Jaguars",""
"119",2013,260,"Jaguars",""
"120",2019,475,"Jets","$475 M"
"121",2018,443,"Jets",""
"122",2017,431,"Jets",""
"123",2016,423,"Jets",""
"124",2015,383,"Jets",""
"125",2014,333,"Jets",""
"126",2013,321,"Jets",""
"127",2019,385,"Lions","$385 M"
"128",2018,361,"Lions",""
"129",2017,341,"Lions",""
"130",2016,321,"Lions",""
"131",2015,298,"Lions",""
"132",2014,254,"Lions",""
"133",2013,248,"Lions",""
"134",2019,456,"Packers","$456 M"
"135",2018,434,"Packers",""
"136",2017,421,"Packers",""
"137",2016,391,"Packers",""
"138",2015,347,"Packers",""
"139",2014,299,"Packers",""
"140",2013,282,"Packers",""
"141",2019,424,"Panthers","$424 M"
"142",2018,396,"Panthers",""
"143",2017,385,"Panthers",""
"144",2016,362,"Panthers",""
"145",2015,325,"Panthers",""
"146",2014,283,"Panthers",""
"147",2013,271,"Panthers",""
"148",2019,600,"Patriots","$600 M"
"149",2018,593,"Patriots",""
"150",2017,575,"Patriots",""
"151",2016,523,"Patriots",""
"152",2015,494,"Patriots",""
"153",2014,428,"Patriots",""
"154",2013,408,"Patriots",""
"155",2019,357,"Raiders","$357 M"
"156",2018,335,"Raiders",""
"157",2017,321,"Raiders",""
"158",2016,301,"Raiders",""
"159",2015,285,"Raiders",""
"160",2014,244,"Raiders",""
"161",2013,229,"Raiders",""
"162",2019,401,"Rams","$401 M"
"163",2018,366,"Rams",""
"164",2017,370,"Rams",""
"165",2016,317,"Rams",""
"166",2015,290,"Rams",""
"167",2014,250,"Rams",""
"168",2013,239,"Rams",""
"169",2019,438,"Ravens","$438 M"
"170",2018,417,"Ravens",""
"171",2017,403,"Ravens",""
"172",2016,378,"Ravens",""
"173",2015,345,"Ravens",""
"174",2014,304,"Ravens",""
"175",2013,292,"Ravens",""
"176",2019,493,"Redskins","$493 M"
"177",2018,491,"Redskins",""
"178",2017,482,"Redskins",""
"179",2016,447,"Redskins",""
"180",2015,439,"Redskins",""
"181",2014,395,"Redskins",""
"182",2013,381,"Redskins",""
"183",2019,441,"Saints","$441 M"
"184",2018,413,"Saints",""
"185",2017,395,"Saints",""
"186",2016,358,"Saints",""
